	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d
	Gaitway.Time	Gaitway.Speed	Gaitway.Grade	Gaitway.GRFx	Gaitway.GRFy	Gaitway.GRFz	Gaitway.CoPx	Gaitway.CoPy	Gaitway.Mx	Gaitway.My	Gaitway.Mz	Gaitway.Tz	Gaitway.FxL	Gaitway.FyL	Gaitway.FzL	Gaitway.CoPxL	Gaitway.CoPyL	Gaitway.FxR	Gaitway.FyR	Gaitway.FzR	Gaitway.CoPxR	Gaitway.CoPyR
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
29	0.029	0.0	0.0	0.2782	-2.7841	787.5689	0.5668	0.8695	684.763	-446.4197	-1.7953	0.0247										
30	0.03	0.0	0.0	0.2792	-2.8217	787.6321	0.5668	0.8694	684.7869	-446.442	-1.8221	0.02										
31	0.031	0.0	0.0	0.2796	-2.8581	787.6987	0.5668	0.8694	684.8137	-446.4664	-1.8475	0.0156										
32	0.032	0.0	0.0	0.2793	-2.8933	787.7689	0.5668	0.8693	684.8437	-446.493	-1.8711	0.0115										
33	0.033	0.0	0.0	0.2779	-2.9272	787.8427	0.5668	0.8693	684.877	-446.5218	-1.8929	0.0078										
34	0.034	0.0	0.0	0.2755	-2.9596	787.9199	0.5667	0.8693	684.9139	-446.5529	-1.9124	0.0044										
35	0.035	0.0	0.0	0.2719	-2.9904	788.0005	0.5667	0.8692	684.9543	-446.5862	-1.9297	0.0015										
36	0.036	0.0	0.0	0.2671	-3.0196	788.0842	0.5667	0.8692	684.9981	-446.6215	-1.9445	-0.001										
37	0.037	0.0	0.0	0.261	-3.0472	788.1708	0.5667	0.8692	685.0451	-446.659	-1.9567	-0.003										
38	0.038	0.0	0.0	0.2537	-3.0731	788.2601	0.5667	0.8691	685.0952	-446.6983	-1.9664	-0.0044										
39	0.039	0.0	0.0	0.245	-3.0974	788.3517	0.5667	0.8691	685.1479	-446.7393	-1.9735	-0.0054										
40	0.04	0.0	0.0	0.2351	-3.12	788.4452	0.5667	0.8691	685.2029	-446.782	-1.9781	-0.0057										
41	0.041	0.0	0.0	0.2241	-3.1411	788.5404	0.5666	0.869	685.26	-446.826	-1.9803	-0.0056										
42	0.042	0.0	0.0	0.212	-3.1607	788.6368	0.5666	0.869	685.3186	-446.8712	-1.9802	-0.005										
43	0.043	0.0	0.0	0.199	-3.1788	788.7341	0.5666	0.869	685.3786	-446.9174	-1.978	-0.0039										
44	0.044	0.0	0.0	0.1852	-3.1955	788.8319	0.5666	0.8689	685.4395	-446.9643	-1.974	-0.0025										
45	0.045	0.0	0.0	0.1707	-3.2108	788.9298	0.5666	0.8689	685.501	-447.0118	-1.9683	-0.0007										
46	0.046	0.0	0.0	0.1558	-3.2249	789.0275	0.5666	0.8689	685.5629	-447.0595	-1.9612	0.0014										
47	0.047	0.0	0.0	0.1406	-3.2378	789.1246	0.5666	0.8688	685.6249	-447.1072	-1.953	0.0036										
48	0.048	0.0	0.0	0.1252	-3.2495	789.2209	0.5666	0.8688	685.6868	-447.1548	-1.944	0.0059										
49	0.049	0.0	0.0	0.1099	-3.2601	789.3159	0.5666	0.8688	685.7484	-447.2019	-1.9344	0.0081										
50	0.05	0.0	0.0	0.0948	-3.2696	789.4095	0.5666	0.8688	685.8095	-447.2483	-1.9245	0.0103										
