	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d	\\Mac\Home\Desktop\Sync_gaitway2V3D\Trial10.c3d
	Gaitway.Time	Gaitway.Speed	Gaitway.Grade	Gaitway.GRFx	Gaitway.GRFy	Gaitway.GRFz	Gaitway.CoPx	Gaitway.CoPy	Gaitway.Mx	Gaitway.My	Gaitway.Mz	Gaitway.Tz	Gaitway.FxL	Gaitway.FyL	Gaitway.FzL	Gaitway.CoPxL	Gaitway.CoPyL	Gaitway.FxR	Gaitway.FyR	Gaitway.FzR	Gaitway.CoPxR	Gaitway.CoPyR
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
2863	2.863	0.0	0.0	-0.4177	-5.1198	673.9876	0.5662	0.8658	583.5289	-381.6353	-3.1391	-0.6017										
2864	2.864	0.0	0.0	-0.4438	-4.9834	670.9449	0.5661	0.8656	580.7783	-379.8541	-3.0538	-0.6167										
2865	2.865	0.0	0.0	-0.4707	-4.8625	667.8983	0.5661	0.8654	578.0245	-378.0707	-2.9764	-0.6314										
2866	2.866	0.0	0.0	-0.4986	-4.7573	664.8477	0.566	0.8653	575.2677	-376.2854	-2.9068	-0.6458										
2867	2.867	0.0	0.0	-0.5276	-4.6677	661.7934	0.5659	0.8651	572.508	-374.4981	-2.8448	-0.6599										
2868	2.868	0.0	0.0	-0.5577	-4.5936	658.7352	0.5658	0.8649	569.7456	-372.7088	-2.7902	-0.6736										
2869	2.869	0.0	0.0	-0.589	-4.5348	655.6732	0.5657	0.8647	566.9807	-370.9176	-2.7429	-0.6868										
2870	2.87	0.0	0.0	-0.6215	-4.4909	652.6073	0.5656	0.8646	564.2135	-369.1244	-2.7025	-0.6997										
2871	2.871	0.0	0.0	-0.6553	-4.4617	649.5374	0.5655	0.8644	561.4439	-367.3294	-2.6687	-0.712										
2872	2.872	0.0	0.0	-0.6903	-4.4466	646.4636	0.5654	0.8642	558.6723	-365.5324	-2.6415	-0.7238										
2873	2.873	0.0	0.0	-0.7266	-4.4452	643.3856	0.5653	0.864	555.8986	-363.7335	-2.6203	-0.735										
2874	2.874	0.0	0.0	-0.7642	-4.457	640.3032	0.5653	0.8638	553.1229	-361.9327	-2.6049	-0.7457										
2875	2.875	0.0	0.0	-0.8029	-4.4812	637.2165	0.5652	0.8637	550.3452	-360.1299	-2.595	-0.7558										
2876	2.876	0.0	0.0	-0.8428	-4.5174	634.1251	0.5651	0.8635	547.5655	-358.325	-2.5902	-0.7653										
2877	2.877	0.0	0.0	-0.8839	-4.5648	631.0288	0.565	0.8633	544.7838	-356.5181	-2.5902	-0.7742										
2878	2.878	0.0	0.0	-0.9262	-4.6228	627.9274	0.5649	0.8632	541.9999	-354.709	-2.5945	-0.7826										
2879	2.879	0.0	0.0	-0.9695	-4.6905	624.8207	0.5648	0.863	539.2137	-352.8977	-2.6028	-0.7903										
2880	2.88	0.0	0.0	-1.014	-4.7673	621.7084	0.5647	0.8628	536.425	-351.0842	-2.6147	-0.7975										
2881	2.881	0.0	0.0	-1.0596	-4.8523	618.5901	0.5646	0.8627	533.6336	-349.2682	-2.6297	-0.8041										
2882	2.882	0.0	0.0	-1.1063	-4.9448	615.4656	0.5645	0.8625	530.8394	-347.4498	-2.6475	-0.8102										
2883	2.883	0.0	0.0	-1.154	-5.044	612.3345	0.5644	0.8623	528.0419	-345.6288	-2.6676	-0.8157										
2884	2.884	0.0	0.0	-1.2029	-5.1491	609.1966	0.5644	0.8622	525.241	-343.805	-2.6895	-0.8207										
2885	2.885	0.0	0.0	-1.2529	-5.2592	606.0515	0.5643	0.862	522.4363	-341.9785	-2.7128	-0.8252										
2886	2.886	0.0	0.0	-1.3041	-5.3736	602.8988	0.5642	0.8619	519.6276	-340.1489	-2.737	-0.8292										
2887	2.887	0.0	0.0	-1.3564	-5.4915	599.7384	0.5641	0.8617	516.8146	-338.3164	-2.7616	-0.8327										
2888	2.888	0.0	0.0	-1.41	-5.6121	596.57	0.564	0.8616	513.9971	-336.4806	-2.7863	-0.8357										
2889	2.889	0.0	0.0	-1.4647	-5.7346	593.3933	0.5639	0.8614	511.1748	-334.6416	-2.8104	-0.8382										
2890	2.89	0.0	0.0	-1.5207	-5.8583	590.2081	0.5639	0.8613	508.3476	-332.7993	-2.8337	-0.8401										
2891	2.891	0.0	0.0	-1.5779	-5.9825	587.0144	0.5638	0.8612	505.5155	-330.9535	-2.8556	-0.8415										
2892	2.892	0.0	0.0	-1.6363	-6.1065	583.812	0.5637	0.861	502.6783	-329.1044	-2.8757	-0.8423										
2893	2.893	0.0	0.0	-1.6961	-6.2297	580.6011	0.5636	0.8609	499.8363	-327.2518	-2.8937	-0.8425										
2894	2.894	0.0	0.0	-1.757	-6.3514	577.3817	0.5636	0.8608	496.9894	-325.3959	-2.9091	-0.842										
2895	2.895	0.0	0.0	-1.8192	-6.4711	574.154	0.5635	0.8606	494.138	-323.5367	-2.9216	-0.8409										
2896	2.896	0.0	0.0	-1.8826	-6.5881	570.9184	0.5634	0.8605	491.2824	-321.6744	-2.931	-0.839										
2897	2.897	0.0	0.0	-1.9471	-6.7021	567.6754	0.5634	0.8604	488.4231	-319.8093	-2.9369	-0.8364										
2898	2.898	0.0	0.0	-2.0126	-6.8125	564.4254	0.5633	0.8603	485.5608	-317.9416	-2.939	-0.8329										
2899	2.899	0.0	0.0	-2.0791	-6.919	561.1693	0.5632	0.8602	482.696	-316.0717	-2.9373	-0.8286										
2900	2.9	0.0	0.0	-2.1464	-7.0211	557.908	0.5632	0.8601	479.8297	-314.2	-2.9314	-0.8234										
2901	2.901	0.0	0.0	-2.2145	-7.1184	554.6425	0.5631	0.8599	476.9629	-312.3272	-2.9213	-0.8172										
2902	2.902	0.0	0.0	-2.2832	-7.2107	551.374	0.5631	0.8598	474.0966	-310.4538	-2.907	-0.8101										
2903	2.903	0.0	0.0	-2.3522	-7.2978	548.104	0.563	0.8597	471.2323	-308.5808	-2.8883	-0.802										
2904	2.904	0.0	0.0	-2.4216	-7.3793	544.8341	0.5629	0.8597	468.3712	-306.7088	-2.8652	-0.7929										
2905	2.905	0.0	0.0	-2.4909	-7.4551	541.5661	0.5629	0.8596	465.515	-304.839	-2.8379	-0.7827										
2906	2.906	0.0	0.0	-2.5601	-7.525	538.3021	0.5628	0.8595	462.6653	-302.9725	-2.8064	-0.7715										
2907	2.907	0.0	0.0	-2.6289	-7.589	535.0442	0.5628	0.8594	459.824	-301.1105	-2.7709	-0.7593										
2908	2.908	0.0	0.0	-2.6971	-7.647	531.7948	0.5627	0.8593	456.9932	-299.2543	-2.7315	-0.746										
2909	2.909	0.0	0.0	-2.7645	-7.6989	528.5566	0.5627	0.8593	454.1748	-297.4054	-2.6884	-0.7318										
2910	2.91	0.0	0.0	-2.8308	-7.745	525.3323	0.5626	0.8592	451.3713	-295.5654	-2.6419	-0.7166										
2911	2.911	0.0	0.0	-2.8958	-7.7851	522.125	0.5626	0.8592	448.5849	-293.7361	-2.5923	-0.7004										
2912	2.912	0.0	0.0	-2.9592	-7.8196	518.9375	0.5625	0.8591	445.8182	-291.9191	-2.5399	-0.6834										
2913	2.913	0.0	0.0	-3.0209	-7.8486	515.7734	0.5625	0.859	443.0737	-290.1163	-2.4852	-0.6655										
2914	2.914	0.0	0.0	-3.0807	-7.8724	512.6357	0.5624	0.859	440.3541	-288.3296	-2.4283	-0.6469										
2915	2.915	0.0	0.0	-3.1384	-7.8913	509.5281	0.5624	0.859	437.6621	-286.5611	-2.3699	-0.6275										
2916	2.916	0.0	0.0	-3.1937	-7.9056	506.4539	0.5624	0.8589	435.0005	-284.8128	-2.3103	-0.6075										
2917	2.917	0.0	0.0	-3.2465	-7.9158	503.4166	0.5623	0.8589	432.3721	-283.0866	-2.2498	-0.5869										
2918	2.918	0.0	0.0	-3.2968	-7.9223	500.4198	0.5623	0.8588	429.7797	-281.3846	-2.189	-0.5658										
2919	2.919	0.0	0.0	-3.3444	-7.9257	497.4669	0.5623	0.8588	427.226	-279.7088	-2.1283	-0.5442										
2920	2.92	0.0	0.0	-3.3893	-7.9264	494.5613	0.5622	0.8588	424.7136	-278.0611	-2.0681	-0.5222										
2921	2.921	0.0	0.0	-3.4313	-7.925	491.7061	0.5622	0.8587	422.2453	-276.4434	-2.0088	-0.4999										
2922	2.922	0.0	0.0	-3.4706	-7.9221	488.9045	0.5622	0.8587	419.8234	-274.8575	-1.9508	-0.4773										
2923	2.923	0.0	0.0	-3.5072	-7.9184	486.1593	0.5622	0.8587	417.4502	-273.3051	-1.8944	-0.4544										
2924	2.924	0.0	0.0	-3.5411	-7.9144	483.4731	0.5622	0.8586	415.1279	-271.7876	-1.8401	-0.4314										
2925	2.925	0.0	0.0	-3.5724	-7.9108	480.8483	0.5621	0.8586	412.8584	-270.3065	-1.788	-0.4083										
2926	2.926	0.0	0.0	-3.6012	-7.9081	478.287	0.5621	0.8586	410.6433	-268.8629	-1.7386	-0.385										
2927	2.927	0.0	0.0	-3.6278	-7.9071	475.7909	0.5621	0.8585	408.484	-267.4578	-1.6919	-0.3617										
2928	2.928	0.0	0.0	-3.6523	-7.9083	473.3613	0.5621	0.8585	406.3816	-266.092	-1.6483	-0.3383										
2929	2.929	0.0	0.0	-3.6749	-7.9122	470.9992	0.5621	0.8585	404.3368	-264.766	-1.6079	-0.3149										
2930	2.93	0.0	0.0	-3.6958	-7.9195	468.7053	0.5621	0.8584	402.3501	-263.4802	-1.5709	-0.2915										
2931	2.931	0.0	0.0	-3.7153	-7.9307	466.4795	0.5622	0.8584	400.4215	-262.2346	-1.5373	-0.2681										
2932	2.932	0.0	0.0	-3.7336	-7.9462	464.3219	0.5622	0.8584	398.5509	-261.0292	-1.5071	-0.2447										
2933	2.933	0.0	0.0	-3.7509	-7.9664	462.2316	0.5622	0.8583	396.7377	-259.8635	-1.4805	-0.2213										
2934	2.934	0.0	0.0	-3.7677	-7.9917	460.2077	0.5622	0.8583	394.9808	-258.7369	-1.4575	-0.198										
2935	2.935	0.0	0.0	-3.7839	-8.0225	458.2488	0.5622	0.8582	393.2791	-257.6486	-1.4379	-0.1748										
2936	2.936	0.0	0.0	-3.8	-8.0588	456.353	0.5623	0.8582	391.631	-256.5974	-1.4218	-0.1516										
2937	2.937	0.0	0.0	-3.8162	-8.101	454.5184	0.5623	0.8581	390.0347	-255.5822	-1.4091	-0.1285										
2938	2.938	0.0	0.0	-3.8326	-8.1491	452.7424	0.5624	0.8581	388.488	-254.6016	-1.3996	-0.1056										
2939	2.939	0.0	0.0	-3.8494	-8.2031	451.0223	0.5624	0.858	386.9887	-253.6538	-1.3934	-0.0828										
2940	2.94	0.0	0.0	-3.8667	-8.263	449.3553	0.5624	0.858	385.5343	-252.7373	-1.3902	-0.0603										
2941	2.941	0.0	0.0	-3.8848	-8.3286	447.7381	0.5625	0.8579	384.1219	-251.85	-1.3899	-0.038										
2942	2.942	0.0	0.0	-3.9036	-8.3998	446.1675	0.5625	0.8579	382.749	-250.9902	-1.3925	-0.016										
2943	2.943	0.0	0.0	-3.9232	-8.4763	444.64	0.5626	0.8578	381.4126	-250.1557	-1.3978	0.0056										
2944	2.944	0.0	0.0	-3.9437	-8.5579	443.1522	0.5627	0.8577	380.1097	-249.3444	-1.4057	0.0269										
2945	2.945	0.0	0.0	-3.9649	-8.6442	441.7006	0.5627	0.8577	378.8375	-248.5543	-1.4161	0.0476										
2946	2.946	0.0	0.0	-3.9868	-8.7348	440.2815	0.5628	0.8576	377.593	-247.7833	-1.4289	0.0677										
2947	2.947	0.0	0.0	-4.0093	-8.8292	438.8915	0.5628	0.8576	376.3733	-247.0293	-1.444	0.0873										
2948	2.948	0.0	0.0	-4.0323	-8.9271	437.5272	0.5629	0.8575	375.1758	-246.2902	-1.4614	0.1062										
2949	2.949	0.0	0.0	-4.0555	-9.0279	436.1853	0.563	0.8574	373.9977	-245.5642	-1.4809	0.1243										
2950	2.95	0.0	0.0	-4.0787	-9.1312	434.8625	0.563	0.8574	372.8365	-244.8492	-1.5027	0.1417										
2951	2.951	0.0	0.0	-4.1016	-9.2363	433.5559	0.5631	0.8573	371.6898	-244.1435	-1.5265	0.1583										
2952	2.952	0.0	0.0	-4.1241	-9.3429	432.2625	0.5632	0.8572	370.5553	-243.4453	-1.5525	0.174										
2953	2.953	0.0	0.0	-4.1456	-9.4504	430.9797	0.5633	0.8572	369.4309	-242.7532	-1.5806	0.1888										
2954	2.954	0.0	0.0	-4.166	-9.5582	429.7051	0.5633	0.8571	368.3148	-242.0656	-1.6107	0.2028										
2955	2.955	0.0	0.0	-4.1849	-9.6659	428.4365	0.5634	0.8571	367.2053	-241.3812	-1.643	0.216										
2956	2.956	0.0	0.0	-4.2019	-9.773	427.1718	0.5635	0.857	366.1007	-240.6989	-1.6774	0.2283										
2957	2.957	0.0	0.0	-4.2167	-9.8791	425.9093	0.5635	0.857	364.9996	-240.0176	-1.7138	0.2398										
2958	2.958	0.0	0.0	-4.2289	-9.9835	424.6475	0.5636	0.8569	363.901	-239.3365	-1.7523	0.2505										
2959	2.959	0.0	0.0	-4.2382	-10.086	423.3852	0.5637	0.8569	362.8038	-238.6547	-1.7929	0.2606										
2960	2.96	0.0	0.0	-4.2442	-10.186	422.1213	0.5638	0.8569	361.7072	-237.9718	-1.8356	0.2701										
2961	2.961	0.0	0.0	-4.2466	-10.2832	420.8552	0.5638	0.8569	360.6106	-237.2874	-1.8802	0.279										
2962	2.962	0.0	0.0	-4.2451	-10.3772	419.5862	0.5639	0.8568	359.5134	-236.6011	-1.9269	0.2874										
2963	2.963	0.0	0.0	-4.2395	-10.4676	418.3143	0.564	0.8568	358.4154	-235.9128	-1.9754	0.2955										
2964	2.964	0.0	0.0	-4.2294	-10.5541	417.0393	0.564	0.8568	357.3165	-235.2226	-2.0259	0.3032										
2965	2.965	0.0	0.0	-4.2147	-10.6362	415.7616	0.5641	0.8568	356.2169	-234.5306	-2.0781	0.3107										
2966	2.966	0.0	0.0	-4.1952	-10.7138	414.4816	0.5642	0.8568	355.1167	-233.8371	-2.132	0.3181										
2967	2.967	0.0	0.0	-4.1708	-10.7866	413.2	0.5642	0.8568	354.0164	-233.1426	-2.1874	0.3253										
2968	2.968	0.0	0.0	-4.1414	-10.8541	411.9178	0.5643	0.8568	352.9166	-232.4475	-2.2443	0.3325										
2969	2.969	0.0	0.0	-4.1069	-10.9163	410.6362	0.5644	0.8568	351.8182	-231.7527	-2.3026	0.3397										
2970	2.97	0.0	0.0	-4.0672	-10.9728	409.3564	0.5644	0.8568	350.7222	-231.0588	-2.3619	0.3469										
2971	2.971	0.0	0.0	-4.0226	-11.0234	408.0801	0.5645	0.8568	349.6297	-230.3667	-2.4223	0.3542										
2972	2.972	0.0	0.0	-3.9729	-11.068	406.809	0.5646	0.8568	348.542	-229.6774	-2.4834	0.3615										
2973	2.973	0.0	0.0	-3.9184	-11.1062	405.5448	0.5647	0.8568	347.4606	-228.9921	-2.5451	0.3688										
2974	2.974	0.0	0.0	-3.8593	-11.1381	404.2898	0.5647	0.8568	346.3872	-228.3117	-2.6072	0.3762										
2975	2.975	0.0	0.0	-3.7956	-11.1634	403.046	0.5648	0.8568	345.3234	-227.6374	-2.6694	0.3835										
2976	2.976	0.0	0.0	-3.7278	-11.182	401.8155	0.5649	0.8568	344.2711	-226.9706	-2.7315	0.3908										
2977	2.977	0.0	0.0	-3.6561	-11.1939	400.6008	0.5649	0.8568	343.2323	-226.3124	-2.7932	0.3981										
2978	2.978	0.0	0.0	-3.5808	-11.199	399.4042	0.565	0.8568	342.209	-225.6641	-2.8543	0.4051										
2979	2.979	0.0	0.0	-3.5023	-11.1973	398.228	0.5651	0.8568	341.2031	-225.027	-2.9144	0.4121										
2980	2.98	0.0	0.0	-3.421	-11.1888	397.0746	0.5651	0.8568	340.2167	-224.4024	-2.9732	0.4188										
2981	2.981	0.0	0.0	-3.3373	-11.1736	395.9462	0.5652	0.8568	339.2517	-223.7914	-3.0306	0.4254										
2982	2.982	0.0	0.0	-3.2516	-11.1519	394.8451	0.5653	0.8568	338.3103	-223.1953	-3.0861	0.4317										
2983	2.983	0.0	0.0	-3.1645	-11.1237	393.7735	0.5653	0.8568	337.3941	-222.6151	-3.1395	0.4377										
2984	2.984	0.0	0.0	-3.0762	-11.0893	392.7333	0.5654	0.8568	336.505	-222.0521	-3.1905	0.4436										
2985	2.985	0.0	0.0	-2.9873	-11.049	391.7264	0.5655	0.8568	335.6445	-221.5071	-3.2389	0.4493										
2986	2.986	0.0	0.0	-2.8983	-11.003	390.7545	0.5655	0.8568	334.8143	-220.981	-3.2843	0.4548										
2987	2.987	0.0	0.0	-2.8096	-10.9518	389.8192	0.5656	0.8568	334.0156	-220.4748	-3.3266	0.4602										
2988	2.988	0.0	0.0	-2.7217	-10.8958	388.9216	0.5656	0.8569	333.2494	-219.989	-3.3655	0.4655										
2989	2.989	0.0	0.0	-2.6348	-10.8353	388.0631	0.5657	0.8569	332.5168	-219.5243	-3.4009	0.4709										
2990	2.99	0.0	0.0	-2.5495	-10.771	387.2443	0.5657	0.8569	331.8185	-219.0811	-3.4327	0.4763										
2991	2.991	0.0	0.0	-2.4661	-10.7033	386.4661	0.5658	0.8569	331.155	-218.6599	-3.4608	0.482										
2992	2.992	0.0	0.0	-2.3848	-10.6329	385.7287	0.5658	0.8569	330.5266	-218.2609	-3.4851	0.4879										
2993	2.993	0.0	0.0	-2.306	-10.5603	385.0326	0.5659	0.8569	329.9335	-217.8843	-3.5059	0.4941										
2994	2.994	0.0	0.0	-2.2298	-10.4862	384.3776	0.5659	0.8569	329.3755	-217.5301	-3.523	0.5007										
2995	2.995	0.0	0.0	-2.1565	-10.4112	383.7637	0.566	0.8569	328.8526	-217.1983	-3.5368	0.5077										
2996	2.996	0.0	0.0	-2.0862	-10.3361	383.1905	0.566	0.8569	328.3643	-216.8888	-3.5474	0.5152										
2997	2.997	0.0	0.0	-2.019	-10.2616	382.6574	0.566	0.8569	327.9101	-216.6013	-3.5552	0.5232										
2998	2.998	0.0	0.0	-1.9549	-10.1882	382.1639	0.5661	0.8569	327.4894	-216.3357	-3.5605	0.5316										
2999	2.999	0.0	0.0	-1.8938	-10.1168	381.7091	0.5661	0.8569	327.1015	-216.0914	-3.5638	0.5406										
3000	3.0	0.0	0.0	-1.8358	-10.048	381.2921	0.5661	0.8569	326.7457	-215.8682	-3.5656	0.55										
3001	3.001	0.0	0.0	-1.7806	-9.9825	380.912	0.5662	0.8569	326.421	-215.6657	-3.5663	0.5597										
3002	3.002	0.0	0.0	-1.7283	-9.9209	380.5678	0.5662	0.8569	326.1267	-215.4833	-3.5666	0.5697										
3003	3.003	0.0	0.0	-1.6786	-9.864	380.2584	0.5662	0.8569	325.8618	-215.3206	-3.5671	0.5799										
3004	3.004	0.0	0.0	-1.6313	-9.8122	379.9826	0.5663	0.8569	325.6254	-215.1771	-3.5684	0.5902										
3005	3.005	0.0	0.0	-1.5862	-9.7662	379.7395	0.5663	0.8569	325.4167	-215.0523	-3.5711	0.6004										
3006	3.006	0.0	0.0	-1.5431	-9.7265	379.5278	0.5664	0.8569	325.2347	-214.9458	-3.5759	0.6104										
3007	3.007	0.0	0.0	-1.5017	-9.6936	379.3466	0.5664	0.8569	325.0785	-214.857	-3.5833	0.6201										
3008	3.008	0.0	0.0	-1.4618	-9.6678	379.1948	0.5664	0.8569	324.9474	-214.7855	-3.594	0.6294										
3009	3.009	0.0	0.0	-1.4233	-9.6496	379.0713	0.5665	0.8569	324.8406	-214.7308	-3.6085	0.638										
3010	3.01	0.0	0.0	-1.3857	-9.6393	378.9753	0.5665	0.8569	324.7571	-214.6925	-3.6273	0.646										
3011	3.011	0.0	0.0	-1.3491	-9.6372	378.9058	0.5666	0.8569	324.6963	-214.6703	-3.6507	0.6532										
3012	3.012	0.0	0.0	-1.3131	-9.6434	378.862	0.5666	0.8569	324.6574	-214.6637	-3.6792	0.6595										
3013	3.013	0.0	0.0	-1.2777	-9.6581	378.843	0.5667	0.8569	324.6397	-214.6724	-3.7129	0.6649										
3014	3.014	0.0	0.0	-1.2427	-9.6813	378.8483	0.5667	0.8569	324.6425	-214.6961	-3.7522	0.6694										
3015	3.015	0.0	0.0	-1.208	-9.7131	378.877	0.5668	0.8569	324.6652	-214.7344	-3.797	0.6729										
3016	3.016	0.0	0.0	-1.1735	-9.7534	378.9285	0.5668	0.8569	324.7072	-214.7871	-3.8475	0.6754										
3017	3.017	0.0	0.0	-1.1393	-9.8021	379.0024	0.5669	0.8569	324.7679	-214.8538	-3.9034	0.6771										
3018	3.018	0.0	0.0	-1.1052	-9.8592	379.098	0.567	0.8569	324.8466	-214.9345	-3.9648	0.6779										
3019	3.019	0.0	0.0	-1.0713	-9.9243	379.215	0.567	0.8569	324.9428	-215.0287	-4.0314	0.6781										
3020	3.02	0.0	0.0	-1.0376	-9.9974	379.3529	0.5671	0.8569	325.0562	-215.1363	-4.103	0.6776										
3021	3.021	0.0	0.0	-1.0042	-10.0781	379.5112	0.5672	0.8569	325.1861	-215.2571	-4.1792	0.6766										
3022	3.022	0.0	0.0	-0.971	-10.1661	379.6898	0.5673	0.8568	325.3322	-215.3909	-4.2597	0.6753										
3023	3.023	0.0	0.0	-0.9381	-10.2612	379.8883	0.5674	0.8568	325.4941	-215.5375	-4.3442	0.6739										
3024	3.024	0.0	0.0	-0.9056	-10.363	380.1064	0.5675	0.8568	325.6716	-215.6967	-4.4324	0.6724										
3025	3.025	0.0	0.0	-0.8734	-10.4713	380.3441	0.5676	0.8568	325.8644	-215.8685	-4.5238	0.671										
3026	3.026	0.0	0.0	-0.8415	-10.5857	380.601	0.5677	0.8567	326.0723	-216.0525	-4.6182	0.6699										
3027	3.027	0.0	0.0	-0.81	-10.7059	380.8773	0.5678	0.8567	326.2953	-216.2489	-4.7153	0.6692										
3028	3.028	0.0	0.0	-0.7787	-10.8316	381.1727	0.5679	0.8567	326.5332	-216.4573	-4.8148	0.6691										
3029	3.029	0.0	0.0	-0.7476	-10.9625	381.4873	0.568	0.8566	326.7862	-216.6778	-4.9165	0.6696										
3030	3.03	0.0	0.0	-0.7164	-11.0984	381.8211	0.5681	0.8566	327.0543	-216.9102	-5.0204	0.6708										
3031	3.031	0.0	0.0	-0.6851	-11.2391	382.1743	0.5682	0.8565	327.3378	-217.1546	-5.1264	0.6729										
3032	3.032	0.0	0.0	-0.6534	-11.3843	382.5471	0.5683	0.8565	327.6369	-217.411	-5.2346	0.6758										
3033	3.033	0.0	0.0	-0.6211	-11.5339	382.9396	0.5684	0.8564	327.9518	-217.6793	-5.3449	0.6796										
3034	3.034	0.0	0.0	-0.5877	-11.6876	383.3522	0.5686	0.8563	328.2831	-217.9596	-5.4576	0.6842										
3035	3.035	0.0	0.0	-0.5531	-11.8455	383.7853	0.5687	0.8563	328.6311	-218.252	-5.5729	0.6898										
3036	3.036	0.0	0.0	-0.5167	-12.0074	384.2392	0.5688	0.8562	328.9962	-218.5566	-5.6912	0.6962										
3037	3.037	0.0	0.0	-0.4783	-12.1733	384.7144	0.5689	0.8562	329.3791	-218.8736	-5.8127	0.7035										
3038	3.038	0.0	0.0	-0.4374	-12.343	385.2116	0.569	0.8561	329.7804	-219.2031	-5.9379	0.7114										
3039	3.039	0.0	0.0	-0.3935	-12.5167	385.7314	0.5692	0.856	330.2005	-219.5454	-6.0671	0.7201										
3040	3.04	0.0	0.0	-0.3463	-12.6944	386.2744	0.5693	0.856	330.6402	-219.9007	-6.2009	0.7294										
3041	3.041	0.0	0.0	-0.2954	-12.876	386.8416	0.5694	0.8559	331.1002	-220.2695	-6.3397	0.7391										
3042	3.042	0.0	0.0	-0.2403	-13.0616	387.4337	0.5695	0.8558	331.5812	-220.652	-6.4839	0.7493										
3043	3.043	0.0	0.0	-0.1808	-13.2513	388.0518	0.5696	0.8558	332.084	-221.0487	-6.6339	0.7598										
3044	3.044	0.0	0.0	-0.1165	-13.445	388.6969	0.5697	0.8557	332.6095	-221.46	-6.7901	0.7705										
3045	3.045	0.0	0.0	-0.0472	-13.643	389.3702	0.5699	0.8556	333.1584	-221.8865	-6.9529	0.7814										
3046	3.046	0.0	0.0	0.0274	-13.8451	390.0729	0.57	0.8556	333.7318	-222.3288	-7.1224	0.7923										
3047	3.047	0.0	0.0	0.1073	-14.0514	390.8064	0.5701	0.8555	334.3306	-222.7874	-7.2989	0.8032										
3048	3.048	0.0	0.0	0.1925	-14.262	391.5721	0.5702	0.8554	334.9559	-223.263	-7.4825	0.8139										
3049	3.049	0.0	0.0	0.2831	-14.4768	392.3716	0.5703	0.8553	335.609	-223.7564	-7.6732	0.8245										
3050	3.05	0.0	0.0	0.3788	-14.6957	393.2064	0.5704	0.8553	336.2909	-224.2684	-7.8709	0.8349										
3051	3.051	0.0	0.0	0.4795	-14.9186	394.0784	0.5704	0.8552	337.0031	-224.7998	-8.0753	0.845										
3052	3.052	0.0	0.0	0.5848	-15.1456	394.9892	0.5705	0.8551	337.7469	-225.3514	-8.2862	0.8548										
3053	3.053	0.0	0.0	0.6943	-15.3763	395.9407	0.5706	0.855	338.5238	-225.9241	-8.5032	0.8641										
3054	3.054	0.0	0.0	0.8075	-15.6107	396.9349	0.5707	0.8549	339.3353	-226.5189	-8.7258	0.8731										
3055	3.055	0.0	0.0	0.9238	-15.8486	397.9737	0.5707	0.8548	340.183	-227.1367	-8.9533	0.8817										
3056	3.056	0.0	0.0	1.0426	-16.0897	399.059	0.5708	0.8547	341.0686	-227.7785	-9.1852	0.8898										
3057	3.057	0.0	0.0	1.1631	-16.3339	400.1929	0.5708	0.8546	341.9937	-228.4452	-9.4205	0.8974										
