Devices
1000
,,DelSys EMG - Voltage,,,Delsys ACC - Acceleration,,
Frame,Sub Frame,Right TA,Right GL,Right GM,1,2
,,V,V,V,mm/s²,mm/s²
34,2,0.00782982,0.0239721,-0.0140858,471.519,23579
34,3,0.00630394,0.0339285,-0.0180912,486.488,23635.8
34,4,0.0173284,0.0368658,-0.0221729,-89.8132,23677.8
35,0,0.0120641,0.0343099,-0.0227833,-434.097,23698.7
35,1,0.00565544,0.033814,-0.0196552,-112.267,23686.7
35,2,0.0175954,0.0255743,-0.0150013,56.1333,23629.9
35,3,0.00817314,0.0331655,-0.0190449,419.128,23626.9
35,4,0.0220205,0.0365224,-0.0221348,-33.68,23668.8
36,0,0.00382439,0.0370565,-0.0270939,-254.471,23779.6
36,1,0.00809685,0.0343099,-0.0195026,-314.346,23683.8
36,2,0.00466362,0.0299612,-0.0162601,-29.9377,23632.9
36,3,-0.00399574,0.0335851,-0.0191975,565.075,23590.9
36,4,-0.00475868,0.036408,-0.020647,29.9377,23617.9
37,0,-0.0127314,0.0383916,-0.0316715,-385.448,23623.9
37,1,-0.0221537,0.0362554,-0.0199223,-1074.02,23644.8
37,2,-0.00605568,0.0311819,-0.0163364,-116.009,23555
37,3,0.0114919,0.0324407,-0.0196552,336.8,23555
37,4,-0.000257339,0.0349203,-0.0197697,-116.009,23546
38,0,0.00309959,0.042626,-0.0263691,-149.689,23498.1
38,1,0.00782982,0.0378957,-0.0199604,-1392.11,23585
38,2,0.00996605,0.0335088,-0.0174427,-97.2977,23519.1
38,3,0.00508324,0.0318685,-0.017519,246.986,23456.2
38,4,0.00267998,0.0364462,-0.0180912,-142.204,23456.2
39,0,0.012293,0.0390783,-0.0208378,41.1644,23474.2
39,1,-0.000791397,0.0388494,-0.0212574,-583.786,23540
39,2,0.00451103,0.0343099,-0.0189686,-306.862,23474.2
39,3,0.0145437,0.0322881,-0.0119114,190.853,23444.2
39,4,0.0179388,0.0345007,-0.0148487,467.777,23357.4
40,0,0.0191213,0.0361028,-0.0215244,205.822,23477.2
40,1,0.0280477,0.0404134,-0.0220585,-280.666,23534.1
40,2,0.0340749,0.0354925,-0.0191975,-430.355,23489.2
